epoch,accuracy,loss,val_accuracy,val_loss
0,0.6608102321624756,0.8227581977844238,0.7058348655700684,0.729449987411499
1,0.7565757036209106,0.6216505169868469,0.7758302688598633,0.5814259052276611
2,0.7949918508529663,0.5274669528007507,0.7926660776138306,0.532426655292511
3,0.821478009223938,0.4675212502479553,0.8141143918037415,0.4816752076148987
4,0.8424063324928284,0.41727349162101746,0.8348708748817444,0.44403284788131714
5,0.8568810820579529,0.381876140832901,0.8464022278785706,0.4124736487865448
6,0.8676099181175232,0.357194721698761,0.8603551387786865,0.37446722388267517
7,0.8781759142875671,0.33215615153312683,0.8541282415390015,0.4085020124912262
8,0.8883550763130188,0.3056813180446625,0.8713099360466003,0.3627631366252899
9,0.8932003378868103,0.2931024134159088,0.8600092530250549,0.3899810314178467
10,0.9005700349807739,0.2723754048347473,0.8776522278785706,0.33461228013038635
11,0.9059853553771973,0.2606481611728668,0.8634686470031738,0.3735622763633728
12,0.9097312688827515,0.24864329397678375,0.8819188475608826,0.3376564085483551
13,0.9158591032028198,0.2332828938961029,0.8650830388069153,0.38804811239242554
14,0.9191775321960449,0.22530296444892883,0.8829566240310669,0.3433470129966736
15,0.9245928525924683,0.21601048111915588,0.8786900639533997,0.3702430725097656
16,0.9241042137145996,0.21123304963111877,0.8909133076667786,0.32285231351852417
17,0.9311075210571289,0.19686469435691833,0.8867619633674622,0.32905930280685425
18,0.9328786730766296,0.19200091063976288,0.8895295262336731,0.33121129870414734
19,0.9356270432472229,0.18513211607933044,0.892988920211792,0.3187773525714874
20,0.9377850294113159,0.1786361187696457,0.8869926333427429,0.3421134948730469
21,0.9420602321624756,0.16866359114646912,0.8890682458877563,0.34133148193359375
22,0.9408387541770935,0.16895894706249237,0.8997924327850342,0.3074861764907837
23,0.9453379511833191,0.16130049526691437,0.8926429748535156,0.33495739102363586
24,0.9464372992515564,0.15552178025245667,0.8939114212989807,0.3439159095287323
25,0.9490024447441101,0.15026946365833282,0.9037131071090698,0.3128952980041504
26,0.9507328867912292,0.14653150737285614,0.8996770977973938,0.3265075385570526
27,0.9534405469894409,0.14049261808395386,0.888491690158844,0.35488760471343994
28,0.9527687430381775,0.13862961530685425,0.8986393213272095,0.3232635259628296
29,0.9542345404624939,0.1372043341398239,0.8958717584609985,0.3416244387626648
